symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,social_missing,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
SPT,2026-07-15 09:00:00-04:00,2026-07-15,10,0,8.71,9.0,8.58,8.8402,True,False,70.68,40.239166452561314,34.35644777804674,1.4543522862472313,yellow,0.4452,0.1831,0.0569,61.3,0.028335301062573814,0.04751023732494739,0.30999999999999656,0.619523809523808,1.8794840147830605,1682568.7860604366,1.0,0.01807651410601577,0.029433723218931625,2.0,0.31901993167575393,-0.01585936969751817,1.2069636433564854,0.1717410033799457,0.23339007171359205,0.043935216074348936,1,0.0,0.002815,0.0,21.0,5.0,EXTENSION,75.2,1,-11.98,0,0,0,0.031651,0.029999,1,0,0,0.031651,0.6330199999999999
SPT,2026-07-15 14:00:00-04:00,2026-07-15,15,0,8.61,8.79,8.59,8.785,False,True,50.49,41.05779086592214,44.985551065881246,0.5092753580727292,green,0.4452,0.1831,0.0569,61.3,0.028335301062573814,0.022766078542970893,0.8750000000000067,0.9750000000000049,1.297806743339407,1420604.0141237,6.0,0.03813318155947627,0.02390438247011962,2.0,0.31474103585657376,-0.009675583380762761,1.2208309618668185,0.1644244151368548,0.2256885341965009,0.03741667306318366,1,0.0,0.0028659999999999996,0.0,22.0,30.0,NEUTRAL,97.2,1,21.25,0,0,0,0.010655,0.005122,0,0,0,0.010655,0.21309999999999998
SPT,2026-07-15 15:00:00-04:00,2026-07-15,16,0,8.78,8.8786,8.74,8.77,True,False,49.65,44.318387189756606,43.112587196318664,0.33090516309156975,orange,0.4452,0.1831,0.0569,61.3,0.028335301062573814,0.015803876852907673,0.07215007215007047,0.2164502164502114,1.810522475817179,2130734.45461185,7.0,0.03990877993158491,0.02223489167616879,0.0,0.3135689851767389,-0.007981755986317023,1.224629418472064,0.16243621180992782,0.22359572508859557,0.03564532985362778,1,0.0,0.002917,0.0,23.0,41.2,NEUTRAL,103.6,1,21.26,0,0,0,0.0,0.0,0,0,0,0.0,0.0
SPT,2026-07-16 13:00:00-04:00,2026-07-16,14,0,8.705,8.755,8.69,8.745,False,True,35.98,30.946160743388717,32.753022051356886,0.21951579993824036,green,0.515,0.2145,0.0731,67.7,0.0,0.0074328187535736175,0.6153846153845901,0.8461538461538252,0.6041064495885881,712417.7317803148,5.0,0.017152658662092667,0.021154945683247425,2.0,0.31160663236134933,0.042881646655231566,1.2309891366495145,0.14763779527559057,0.21246152566342222,0.03598400710795191,1,0.0,0.0028659999999999996,0.0,24.0,52.6,LAUNCH,129.1,1,38.51,0,1,0,0.005146,0.018868,0,0,0,0.005146,0.10292
SPT,2026-07-20 11:00:00-04:00,2026-07-20,12,1,8.38,8.585,8.375,8.55,False,True,23.13,-38.07623064197711,-32.798505806295964,-0.07481558759669665,green,0.515,0.1827,0.0895,65.9,-0.03823870220162225,0.024561403508772027,0.8095238095238059,0.8333333333333334,0.6459258067566133,644138.73568665,3.0,0.004093567251462004,0.029239766081871343,1.0,0.2959064327485381,0.06666666666666649,1.2818713450292398,0.0981953631751335,0.1730969760166841,0.01928900121599405,1,0.0,0.002917,0.0,25.0,36.2,NEUTRAL,113.5,1,56.81,1,1,0,0.016959,0.018129,0,0,0,0.016959,0.3391799999999999
SPT,2026-07-20 12:00:00-04:00,2026-07-20,13,1,8.555,8.645,8.555,8.575,True,False,31.46,-29.915099362734583,-35.09172515705527,0.160050262055629,orange,0.515,0.1827,0.0895,65.9,-0.03823870220162225,0.01049562682215742,0.22222222222221782,0.22222222222221782,0.560597345515982,547370.2449396999,4.0,0.008163265306122483,0.03206997084548089,2.0,0.29795918367346935,0.06355685131195335,1.2752186588921286,0.10140646072827698,0.17652708413369175,0.022269378412531873,1,0.0,0.003238,0.0,26.0,51.2,LAUNCH,103.5,1,60.78,1,1,0,0.013994,0.020991,0,0,0,0.013994,0.27987999999999996
SPT,2026-07-21 14:00:00-04:00,2026-07-21,15,0,8.135,8.225,8.125,8.175,False,True,11.4,-54.49560194387769,-53.03261484663655,-0.9325943824981718,yellow,0.515,0.1475,0.0959,62.4,-0.033868092691621915,0.012232415902140628,0.4000000000000107,0.5000000000000089,0.8267466293095459,706438.545241725,6.0,0.028746177370030507,0.0188134556574924,2.0,0.2636085626911316,0.11559633027522917,1.3865443425076451,0.0376340673986166,0.11540140806636488,-0.022789621846479324,1,0.0,0.003559,0.0,27.0,30.0,NEUTRAL,113.1,1,44.81,0,0,0,0.006116,0.006728,0,0,0,0.006116,0.12232
SPT,2026-07-21 15:00:00-04:00,2026-07-21,16,0,8.175,8.225,8.12,8.21,True,False,26.7,-52.66566982701716,-54.075365529713736,-0.46838579586653983,yellow,0.515,0.1475,0.0959,62.4,-0.033868092691621915,0.012789281364190063,0.3333333333333333,0.8571428571428692,2.7367519997111027,2623960.9870562404,7.0,0.02436053593179041,0.022996345919610292,3.0,0.2667478684531061,0.11084043848964656,1.3763702801461632,0.042076537411944025,0.12017682693882029,-0.018605846527167597,1,0.0,0.0043525000000000005,0.0,28.0,39.2,NEUTRAL,119.3,1,58.66,0,0,0,0.0,0.0,0,0,0,0.0,0.0
SPT,2026-07-22 15:00:00-04:00,2026-07-22,16,0,7.56,7.64,7.5,7.61,True,False,26.03,-69.80726873977385,-70.36179741121806,-1.6145999935586577,yellow,0.4217,0.1172,0.1011,53.2,0.0012180267965894989,0.018396846254927685,0.35714285714286303,0.7857142857142898,2.224760309174164,1954337.5663744302,7.0,0.08147174770039423,0.015768725361366635,2.0,0.15703022339027597,0.19842312746386317,1.563731931668857,-0.045109479892088446,0.034304664564531746,-0.08801112123100521,1,0.0,0.003559,0.0,29.0,37.6,NEUTRAL,108.6,1,62.06,0,0,0,0.0,0.0,0,0,0,0.0,0.0
SPT,2026-07-23 12:00:00-04:00,2026-07-23,13,1,7.365,7.39,7.2905,7.32,False,True,10.1,-68.3245677576833,-68.2206719256165,-1.552608383639568,red,0.4031,0.0337,0.1018,43.6,-0.0013140604467806406,0.013592896174863377,0.45226130653266294,0.296482412060307,0.5478720478575945,461099.99064,4.0,0.04918032786885238,0.004030054644808815,0.0,0.11202185792349731,0.24590163934426215,1.6653005464480874,-0.08756622000623253,-0.005677959194762188,-0.12015529499438085,1,0.0,0.003238,0.0,30.0,30.0,NEUTRAL,77.0,1,68.93,1,1,0,0.010929,0.002049,0,0,0,0.010929,0.21857999999999997
