symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple,social_missing,guidance_cut,print,outlook,news_velocity_24h,news_velocity_72h,news_headline_count_48h,dilution_flag,distress_flag,unresolved,catalyst_type,st_msg_24h,st_bull_ratio,st_ok,x_posts_24h,x_authors_24h,x_engage_24h,x_sent_lex,x_ok
ABCL,2026-07-02 09:00:00-04:00,2026-07-02,10,0,7.64,8.07,7.55,8.07,True,False,67.18,-10.761320354113376,-16.947809329500686,1.7413694869275953,green,0.6806,0.4421,0.1087,78.7,-0.021724818959842,0.0644361833952912,0.8269230769230773,1.0,0.7687316580545194,5453357.48501763,2.0,0.0,0.0855018587360595,1.0,0.379182156133829,0.0433705080545228,0.0433705080545228,0.3409770687936194,0.5313092979127136,0.8497931303221669,1,0.0,0.0122875,0.3,20.0,5.0,EXTENSION,86.3,-7.24,0,0,0,0.030979,0.033457,1,0,0,0.030979,0.6195799999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-06 11:00:00-04:00,2026-07-06,12,1,7.885,8.045,7.875,8.04,False,True,47.06,16.298089022292178,19.20751047878576,0.2686030707196347,green,0.6806,0.5152,0.1164,78.7,0.0036945812807883,0.0211442786069651,0.9117647058823496,0.9705882352941132,0.8646418498541291,6596136.349642439,4.0,0.0149253731343284,0.0733830845771143,2.0,0.376865671641791,0.0472636815920399,0.0472636815920399,0.3099796334012218,0.5021298856587697,0.835008958221593,1,0.0,0.012488,0.2857142857142857,21.0,36.2,NEUTRAL,121.5,60.42,1,1,0,0.006841,0.035448,0,0,0,0.006841,0.13682,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-06 12:00:00-04:00,2026-07-06,13,1,8.035,8.095,7.9609,8.0297,True,False,47.82,19.174527056071675,17.31798488378413,0.265433389264633,orange,0.6806,0.5152,0.1164,78.7,0.0036945812807883,0.0167004993959925,0.0395227442207311,0.5130499627143915,0.5028457586429754,3928639.896471983,5.0,0.0162272563109456,0.0721944780004234,0.0,0.3760663536620297,0.048607046340461,0.048607046340461,0.3083014256619144,0.5002055152828637,0.8326581382875532,1,0.0,0.0122875,0.2727272727272727,22.0,41.2,NEUTRAL,103.1,54.87,1,1,0,0.001905,0.03421,0,0,0,0.001905,0.0380999999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-07 06:00:00-04:00,2026-07-07,7,1,7.98,8.25,7.94,8.2,True,False,70.85,15.496793447645851,11.425337525789406,1.1007815888726618,green,0.6806,0.4498,0.1203,78.7,0.0139771283354511,0.0378048780487804,0.709677419354836,0.8387096774193523,0.0823878605921403,569626.362228,1.0,0.0060975609756098,0.0317073170731706,2.0,0.3890243902439024,0.026829268292683,0.026829268292683,0.3199195171026157,0.5106296746619503,0.864929098579697,1,0.0,0.012087,0.2608695652173913,23.0,5.0,EXTENSION,77.0,3.0,0,0,0,0.029268,0.058537,0,0,1,0.029268,-1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-07 12:00:00-04:00,2026-07-07,13,1,7.905,8.005,7.88,7.92,False,True,50.88,4.561971843629077,7.7618404849643,0.2270895256574597,orange,0.6806,0.4498,0.1203,78.7,0.0139771283354511,0.0157828282828283,0.1199999999999966,0.319999999999998,0.8499417758715393,6464729.272359599,5.0,0.0656565656565656,0.058080808080808,2.0,0.3674242424242424,0.0631313131313131,0.0631313131313131,0.2748490945674045,0.4590471979661765,0.8012485927745367,1,0.0,0.0122875,0.25,24.0,30.0,NEUTRAL,93.1,55.52,1,1,0,0.006301,0.042929,0,0,0,0.006301,0.12602,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-08 14:00:00-04:00,2026-07-08,15,0,7.16,7.29,7.16,7.26,False,True,12.55,-50.1270508980547,-48.79101165310141,-0.357926697943182,green,0.6846,0.3979,0.1328,79.0,-0.0532813515269655,0.0179063360881542,0.7692307692307672,0.7692307692307672,0.6036000950595951,3789365.97549444,7.0,0.0606060606060606,0.0303030303030302,1.0,0.3099173553719008,0.1625344352617079,0.1625344352617079,0.1494616846105129,0.3197600436284311,0.645307135329911,1,0.0,0.012087,0.24,25.0,30.0,NEUTRAL,122.5,45.75,0,0,0,0.0,0.022039,0,0,0,0.0,0.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-09 09:00:00-04:00,2026-07-09,10,0,7.04,7.49,6.82,7.46,True,False,61.66,-47.97701674410722,-50.08241264193362,0.7162046392839206,green,0.6846,0.277,0.1435,79.0,0.0070422535211268,0.0898123324396782,0.626865671641791,0.9552238805970146,2.0798326886122656,14562785.131455438,2.0,0.0040214477211796,0.0857908847184986,1.0,0.3284182305630027,0.131367292225201,0.131367292225201,0.165625,0.3417266187050356,0.6860852761360168,1,0.0,0.0110665,0.2307692307692307,26.0,25.0,NEUTRAL,107.7,13.15,0,0,0,0.006702,0.030161,0,0,0,0.006702,0.13404,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-10 13:00:00-04:00,2026-07-10,14,0,6.79,6.86,6.77,6.805,False,True,9.05,-57.78942356685836,-55.15318392094071,-0.5769862798963543,orange,0.6846,0.2966,0.1536,79.0,0.0013717421124828,0.0132255694342396,0.1666666666666617,0.3888888888888872,0.2752113266846541,1460078.87807746,6.0,0.0786186627479794,0.0295958853783981,3.0,0.2637766348273328,0.2402645113886847,0.2402645113886847,0.0470036156627433,0.2102941699569591,0.533227438124528,1,0.0,0.010046,0.2222222222222222,27.0,30.0,NEUTRAL,118.2,30.17,0,1,0,0.003674,0.021308,0,0,0,0.003674,0.07348,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-10 15:00:00-04:00,2026-07-10,16,0,6.675,6.82,6.675,6.79,True,False,21.14,-57.95487518003875,-58.11169689968887,-0.2445762309928137,green,0.6846,0.2966,0.1536,79.0,0.0013717421124828,0.0213549337260678,0.793103448275861,0.793103448275861,1.771835670738577,8044834.556766351,8.0,0.08100147275405,0.0274521354933725,1.0,0.2621502209131075,0.2430044182621501,0.2430044182621501,0.0446957458266021,0.2076263650268556,0.5298478038009619,1,0.0,0.009329,0.2142857142857142,28.0,41.2,NEUTRAL,132.0,52.22,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-13 10:00:00-04:00,2026-07-13,11,1,6.65,6.7595,6.575,6.7,True,False,9.15,-56.86251956487644,-56.867063535187526,-0.1540705852492108,yellow,0.6846,0.1982,0.1563,78.8,0.0029455081001472,0.0275373134328358,0.2710027100270994,0.6775067750677511,0.9116273586020472,3901019.5731445006,3.0,0.0194029850746268,0.0382089552238806,1.0,0.2522388059701493,0.2597014925373133,0.2597014925373133,0.0174639331814732,0.1805335306762519,0.5062272379839033,1,0.0,0.008612,0.2068965517241379,29.0,35.0,NEUTRAL,135.0,79.31,1,1,0,0.009701,0.044776,0,0,0,0.009701,0.1940199999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
