symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
HOOD,2026-06-23 07:00:00-04:00,2026-06-23,8,0,99.66,102.65,99.66,102.37,False,True,14.86,-1.2813679857396123,green,0.5356,0.2658,0.1124,69.0,0.02920777571554175,0.9063545150501672,0.9063545150501672,0.1567396080450391,23591255.24997861,4.0,0.002735176321187859,0.040441535606134615,1.0,0.2843606525349223,0.09895477190583174,0.5029784116440363,0.14372220856702347,0.2257781002774375,-0.004333246365274012,1,0.0,0.025792999999999996,0.3333333333333333,18.0,30.0,NEUTRAL,112.0,34.94,1,0,0.035362,0.032334,1,0,0,0.035362,0.7072399999999999
HOOD,2026-06-23 09:00:00-04:00,2026-06-23,10,0,99.7,104.89,99.06,104.62,True,False,63.32,1.010619861854456,green,0.5356,0.2658,0.1124,69.0,0.05572548269929266,0.8439108061749576,0.9536878216123506,3.18609677495454,706734148.0567037,6.0,0.002580768495507513,0.06107818772701205,1.0,0.2997514815522844,0.07532020646147959,0.47065475052571215,0.16886018814381162,0.2527195941293886,0.017550608237423392,1,0.0,0.031559,0.3157894736842105,19.0,25.0,NEUTRAL,97.3,16.51,0,0,0.013095,0.02122,0,0,0,0.013095,0.2619
HOOD,2026-06-24 04:00:00-04:00,2026-06-24,5,0,103.98,104.2,103.3,103.7,True,False,31.93,-0.027096063979989295,red,0.5317,0.2263,0.1252,68.8,0.008678881388621077,0.3111111111111104,0.444444444444448,0.014208134164983987,2809842.1252965997,1.0,0.0048216007714561235,0.0038572806171649535,0.0,0.29170684667309543,0.08486017357762775,0.48370202507232407,0.13972952031345304,0.23165727384480178,0.00858586681365899,1,0.0,0.025792999999999996,0.3,20.0,52.3,LAUNCH,133.7,46.2,1,0,0.007715,0.054773,0,0,1,0.007715,-1.0
HOOD,2026-06-24 07:00:00-04:00,2026-06-24,8,0,103.33,104.2,102.68,103.9,True,False,63.79,0.5530813163948574,yellow,0.5317,0.2263,0.1252,68.8,0.014629451395572627,0.37500000000000583,0.8026315789473698,0.027049289748960842,5355631.552808001,4.0,0.002887391722810367,0.01289701636188646,1.0,0.2930702598652551,0.08277189605389793,0.4808460057747835,0.14192764860721094,0.23403269770949767,0.01053106617106241,1,0.0,0.020027,0.2857142857142857,21.0,25.0,NEUTRAL,104.0,1.67,0,0,0.005775,0.056593,0,0,1,0.005775,-1.0
HOOD,2026-06-29 12:00:00-04:00,2026-06-29,13,1,100.37,101.99,100.33,101.695,True,False,43.41,0.495242268345511,green,0.4253,0.158,0.1399,57.5,0.01632331973056686,0.7981927710843322,0.8222891566265046,0.9895322964352485,206085535.78607455,9.0,0.0029008309159742536,0.03584247013127485,1.0,0.2238556467869609,0.10624907812576831,0.5129544225379814,0.08537184084699433,0.19331056114169187,-0.008616056968872491,1,0.0,0.018625,0.2727272727272727,22.0,39.0,NEUTRAL,88.2,79.37,1,0,0.011357,0.002999,0,0,0,0.011357,0.22714
HOOD,2026-06-30 11:00:00-04:00,2026-06-30,12,1,100.415,103.06,100.34,101.4699,False,True,51.71,0.1623790440441655,yellow,0.4253,0.1907,0.1359,60.8,0.026805978915914956,0.3878308823529374,0.41540441176470316,2.0868585513320026,287493759.33986676,8.0,0.015670657012572267,0.01527448041241781,1.0,0.2221338544730998,0.1087031720736889,0.5163107483105829,0.07863509527226331,0.18649797416993583,-0.01005627523916325,1,0.0,0.017223,0.2608695652173913,23.0,30.0,NEUTRAL,103.5,81.67,1,0,0.003549,0.017827,0,0,0,0.003549,0.07098
HOOD,2026-07-01 07:00:00-04:00,2026-07-01,8,0,100.12,100.44,100.01,100.2282,False,True,24.71,-0.2064222471039705,yellow,0.4253,0.17,0.1274,58.7,0.0042902097413701195,0.2516279069767404,0.5074418604651156,0.03775814845922791,2990671.0929014403,4.0,0.0027118116458242185,0.008149403062212039,3.0,0.21249708165965261,0.12243859512592263,0.5350959111307996,0.060054997355896395,0.1693724616764925,-0.021336334895874002,1,0.0,0.015811,0.25,24.0,36.2,NEUTRAL,113.0,42.48,1,1,0.092806,0.00946,1,1,0,0.092806,1.0
HOOD,2026-07-01 09:00:00-04:00,2026-07-01,10,0,99.66,104.57,99.65,104.55,True,False,66.47,0.4136156109394778,green,0.4253,0.17,0.1274,58.7,0.047058823529411646,0.9939024390243929,0.9959349593495943,3.4780631525323056,348056085.9958409,6.0,0.00019129603060732685,0.05040650406504062,1.0,0.24505021520803436,0.07604017216642757,0.4716394069823053,0.10576414595452142,0.21979533572664464,0.02086325192546977,1,0.0,0.017223,0.28,25.0,5.0,NEUTRAL,66.4,8.37,0,0,0.047633,0.007508,1,0,0,0.047633,0.95266
HOOD,2026-07-02 05:00:00-04:00,2026-07-02,6,0,109.39,111.5,109.102,111.37,True,False,53.23,2.0,green,0.4253,0.2625,0.1265,61.7,0.02153183083415638,0.8256880733944985,0.945788156797333,0.08043486935731939,11653548.343202502,2.0,0.001167280237047638,0.04076501750920361,2.0,0.29128131453712847,0.010146358983568245,0.38152015803178596,0.16526897865016302,0.29411819388184357,0.08779497843480867,1,0.0,0.018625,0.2692307692307692,26.0,35.0,NEUTRAL,102.1,21.41,1,1,0.077938,0.007279,1,1,0,0.077938,1.0
HOOD,2026-07-06 04:00:00-04:00,2026-07-06,5,0,115.0,115.16,114.09,114.72,True,False,62.31,1.1226842806566861,red,0.521,0.302,0.1235,68.1,0.00932705718270566,0.26168224299065695,0.5887850467289715,0.056971228964256465,12920551.220857918,1.0,0.0038354253835425184,0.0054916317991631405,0.0,0.3119769874476987,0.046460948396094826,0.3411776499302651,0.1818458099177385,0.3249469305165127,0.1206306868869263,1,0.0,0.020027,0.2962962962962963,27.0,25.0,NEUTRAL,99.6,-6.82,0,0,0.034257,0.030683,1,0,0,0.034257,0.68514
